ClaimID,PolicyID,AccidentDate,ReportedDate,PaymentDate,ClaimStatus,PaidAmount,IncurredAmount
CLM-TZ-1021,POL-MOT-5166,2019-11-02,2019-11-30,2020-02-01,Closed,7976000.0,10319000.0
CLM-TZ-1022,POL-MOT-5054,2020-10-02,2021-04-30,2022-08-07,Open,4967000.0,5912000.0
CLM-TZ-1023,POL-MOT-5184,2021-03-13,2021-07-01,2023-03-30,Closed,412000.0,428000.0
CLM-TZ-1024,POL-MOT-5100,2021-09-26,2022-01-13,2023-06-16,Open,737000.0,887000.0
CLM-TZ-1025,POL-MOT-5109,2023-09-17,2023-10-24,2024-02-16,Closed,5080000.0,5575000.0
CLM-TZ-1026,POL-MOT-5087,2020-03-13,2020-04-14,2021-04-05,Open,742000.0,895000.0
CLM-TZ-1027,POL-MOT-5173,2022-01-31,2022-02-19,2023-01-20,Open,1584000.0,1617000.0
CLM-TZ-1028,POL-MOT-5162,2022-07-21,2022-07-24,2022-10-01,Closed,3437000.0,3617000.0
CLM-TZ-1029,POL-MOT-5137,2019-04-12,2019-08-10,2020-06-22,Closed,753000.0,946000.0
CLM-TZ-1030,POL-MOT-5008,2022-08-24,2022-12-02,2022-12-08,Closed,2203000.0,2353000.0
CLM-TZ-1031,POL-MOT-5007,2020-01-09,2021-05-13,2021-10-23,Open,522000.0,653000.0
CLM-TZ-1032,POL-MOT-5036,2019-05-23,2020-04-28,2020-06-14,Closed,1087000.0,1178000.0
CLM-TZ-1033,POL-MOT-5018,2024-09-10,2024-10-28,2024-11-20,Closed,2730000.0,3257000.0
CLM-TZ-1034,POL-MOT-5003,2024-10-16,2025-01-11,2025-01-25,Closed,403000.0,487000.0
CLM-TZ-1035,POL-MOT-5028,2023-11-07,2024-04-28,2024-11-28,Open,3080000.0,3554000.0
CLM-TZ-1036,POL-MOT-5070,2020-10-29,2021-02-19,2021-05-04,Open,1944000.0,2122000.0
CLM-TZ-1037,POL-MOT-5172,2019-08-02,2019-08-19,2020-04-07,Open,3445000.0,3665000.0
CLM-TZ-1038,POL-MOT-5149,2023-02-08,2023-03-15,2023-03-27,Closed,2480000.0,2505000.0
CLM-TZ-1039,POL-MOT-5028,2021-08-22,2021-08-30,2021-11-06,Closed,7757000.0,8464000.0
CLM-TZ-1040,POL-MOT-5054,2019-09-25,2020-03-27,2020-08-13,Closed,2247000.0,2687000.0
CLM-TZ-1041,POL-MOT-5182,2021-12-20,2022-02-13,2022-11-21,Closed,1291000.0,1654000.0
CLM-TZ-1042,POL-MOT-5065,2019-03-17,2019-04-01,2019-06-09,Closed,2241000.0,2827000.0
CLM-TZ-1043,POL-MOT-5100,2024-06-15,2024-08-20,2025-02-12,Closed,3414000.0,4199000.0
CLM-TZ-1044,POL-MOT-5021,2020-07-20,2020-09-15,2021-10-10,Closed,2082000.0,2574000.0
CLM-TZ-1045,POL-MOT-5013,2022-12-22,2023-01-17,2023-07-08,Closed,2065000.0,2477000.0
CLM-TZ-1046,POL-MOT-5057,2020-11-13,2020-11-20,2021-01-06,Open,983000.0,1060000.0
CLM-TZ-1047,POL-MOT-5049,2022-02-13,2022-04-20,2022-04-24,Closed,1022000.0,1300000.0
CLM-TZ-1048,POL-MOT-5118,2022-04-12,2022-05-26,2023-05-28,Open,488000.0,586000.0
CLM-TZ-1049,POL-MOT-5054,2020-02-10,2020-05-08,2020-05-11,Closed,11405000.0,13323000.0
CLM-TZ-1050,POL-MOT-5138,2024-10-25,2024-12-08,2025-12-16,Closed,572000.0,591000.0
CLM-TZ-1051,POL-MOT-5053,2023-08-26,2023-12-18,2024-05-01,Closed,992000.0,1125000.0
CLM-TZ-1052,POL-MOT-5044,2024-08-20,2024-10-07,2026-02-22,Closed,967000.0,1101000.0
CLM-TZ-1053,POL-MOT-5047,2024-05-14,2024-07-02,2025-04-16,Closed,4852000.0,6110000.0
CLM-TZ-1054,POL-MOT-5053,2022-08-02,2022-12-05,2025-12-21,Closed,1476000.0,1718000.0
CLM-TZ-1055,POL-MOT-5074,2024-07-12,2024-08-11,2024-10-27,Closed,6905000.0,7693000.0
CLM-TZ-1056,POL-MOT-5046,2019-07-13,2019-07-21,2020-04-08,Closed,1011000.0,1307000.0
CLM-TZ-1057,POL-MOT-5013,2020-03-05,2020-03-06,2020-06-06,Closed,2621000.0,2708000.0
CLM-TZ-1058,POL-MOT-5165,2019-04-10,2019-07-03,2019-10-28,Open,860000.0,969000.0
CLM-TZ-1059,POL-MOT-5102,2020-12-13,2021-02-09,2021-08-05,Open,16939000.0,17153000.0
CLM-TZ-1060,POL-MOT-5024,2021-05-01,2021-07-13,2022-07-20,Closed,605000.0,739000.0
CLM-TZ-1061,POL-MOT-5002,2020-08-17,2020-08-31,2022-09-15,Closed,2703000.0,3447000.0
CLM-TZ-1062,POL-MOT-5081,2023-12-21,2023-12-29,2024-09-17,Open,3737000.0,4051000.0
CLM-TZ-1063,POL-MOT-5100,2021-02-20,2021-02-20,2021-05-28,Open,2999000.0,3771000.0
CLM-TZ-1064,POL-MOT-5142,2020-09-07,2020-10-02,2021-01-08,Closed,1647000.0,1791000.0
CLM-TZ-1065,POL-MOT-5138,2022-04-04,2022-05-27,2023-01-22,Open,1741000.0,2217000.0
CLM-TZ-1066,POL-MOT-5163,2019-11-05,2019-12-04,2020-01-22,Closed,2072000.0,2541000.0
CLM-TZ-1067,POL-MOT-5153,2023-10-24,2023-11-27,2023-12-18,Open,1712000.0,2125000.0
CLM-TZ-1068,POL-MOT-5131,2019-06-13,2019-10-31,2020-01-17,Open,5198000.0,5226000.0
CLM-TZ-1069,POL-MOT-5111,2024-12-02,2024-12-27,2025-02-25,Closed,18084000.0,23307000.0
CLM-TZ-1070,POL-MOT-5102,2023-08-19,2023-10-01,2023-12-03,Closed,1135000.0,1382000.0
CLM-TZ-1071,POL-MOT-5017,2020-03-11,2020-06-10,2020-07-27,Open,504000.0,550000.0
CLM-TZ-1072,POL-MOT-5012,2019-01-13,2019-02-12,2019-02-19,Closed,1815000.0,2267000.0
CLM-TZ-1073,POL-MOT-5182,2023-11-22,2024-01-19,2024-01-22,Closed,26159000.0,28368000.0
CLM-TZ-1074,POL-MOT-5116,2023-03-29,2023-07-25,2025-09-23,Open,888000.0,1121000.0
CLM-TZ-1075,POL-MOT-5024,2023-05-17,2023-11-12,2024-02-20,Closed,10212000.0,10557000.0
CLM-TZ-1076,POL-MOT-5029,2023-08-17,2023-08-26,2023-11-21,Closed,10614000.0,12855000.0
CLM-TZ-1077,POL-MOT-5171,2019-06-12,2019-11-15,2020-06-06,Closed,1140000.0,1325000.0
CLM-TZ-1078,POL-MOT-5153,2021-02-24,2021-04-05,2021-05-19,Closed,3502000.0,3603000.0
CLM-TZ-1079,POL-MOT-5122,2019-09-11,2019-09-28,2021-03-20,Closed,10104000.0,10837000.0
CLM-TZ-1080,POL-MOT-5188,2024-03-06,2024-04-11,2025-01-13,Closed,1357000.0,1362000.0
CLM-TZ-1081,POL-MOT-5090,2022-09-27,2023-05-19,2023-06-04,Closed,1618000.0,1846000.0
CLM-TZ-1082,POL-MOT-5065,2020-12-25,2021-02-03,2021-05-11,Closed,1108000.0,1208000.0
CLM-TZ-1083,POL-MOT-5084,2019-05-20,2019-06-12,2020-06-26,Closed,719000.0,848000.0
CLM-TZ-1084,POL-MOT-5119,2020-11-12,2021-01-11,2022-06-16,Closed,1036000.0,1128000.0
CLM-TZ-1085,POL-MOT-5156,2020-12-13,2020-12-29,2021-04-21,Closed,583000.0,635000.0
CLM-TZ-1086,POL-MOT-5016,2023-05-18,2023-05-22,2023-11-09,Closed,2052000.0,2510000.0
CLM-TZ-1087,POL-MOT-5175,2022-10-28,2022-11-05,2022-12-07,Closed,918000.0,931000.0
CLM-TZ-1088,POL-MOT-5104,2024-04-27,2024-05-05,2026-09-03,Closed,2505000.0,3184000.0
CLM-TZ-1089,POL-MOT-5092,2021-10-31,2021-11-09,2021-12-26,Closed,418000.0,525000.0
CLM-TZ-1090,POL-MOT-5186,2019-09-20,2019-09-28,2021-02-23,Open,2760000.0,3313000.0
CLM-TZ-1091,POL-MOT-5027,2023-04-12,2023-06-12,2023-12-17,Closed,4563000.0,5375000.0
CLM-TZ-1092,POL-MOT-5181,2023-07-25,2023-08-06,2024-01-21,Closed,270000.0,342000.0
CLM-TZ-1093,POL-MOT-5170,2022-05-14,2022-06-08,2022-10-15,Closed,2882000.0,3042000.0
CLM-TZ-1094,POL-MOT-5187,2023-08-17,2023-12-31,2024-02-16,Closed,6768000.0,6928000.0
CLM-TZ-1095,POL-MOT-5175,2021-12-17,2022-01-24,2022-02-27,Closed,591000.0,633000.0
CLM-TZ-1096,POL-MOT-5162,2022-02-19,2022-04-26,2022-06-09,Closed,10560000.0,13077000.0
CLM-TZ-1097,POL-MOT-5165,2021-07-25,2021-08-05,2021-09-11,Closed,3015000.0,3046000.0
CLM-TZ-1098,POL-MOT-5134,2019-02-25,2019-03-09,2019-12-06,Closed,980000.0,1151000.0
CLM-TZ-1099,POL-MOT-5135,2019-08-25,2019-08-27,2019-11-12,Closed,1875000.0,2435000.0
CLM-TZ-1100,POL-MOT-5153,2019-03-10,2019-03-21,2019-03-31,Closed,3465000.0,4354000.0
CLM-TZ-1101,POL-MOT-5033,2022-10-26,2022-11-14,2024-07-31,Closed,2139000.0,2474000.0
CLM-TZ-1102,POL-MOT-5055,2020-11-19,2020-11-30,2021-12-22,Closed,3398000.0,3463000.0
CLM-TZ-1103,POL-MOT-5186,2022-01-19,2022-01-24,2023-05-11,Closed,790000.0,987000.0
CLM-TZ-1104,POL-MOT-5007,2024-06-11,2024-06-18,2027-01-24,Closed,2349000.0,2771000.0
CLM-TZ-1105,POL-MOT-5057,2020-06-30,2020-08-06,2020-09-09,Closed,482000.0,499000.0
CLM-TZ-1106,POL-MOT-5126,2021-06-18,2021-07-01,2021-09-29,Closed,1774000.0,1824000.0
CLM-TZ-1107,POL-MOT-5012,2023-07-14,2023-08-10,2024-04-21,Closed,803000.0,1022000.0
CLM-TZ-1108,POL-MOT-5016,2020-05-16,2020-06-27,2021-01-27,Closed,950000.0,1141000.0
CLM-TZ-1109,POL-MOT-5043,2019-06-18,2019-08-27,2019-09-26,Closed,6825000.0,8523000.0
CLM-TZ-1110,POL-MOT-5117,2020-09-26,2020-09-28,2021-07-29,Closed,5905000.0,7462000.0
CLM-TZ-1111,POL-MOT-5135,2019-12-20,2020-03-25,2020-05-09,Closed,3646000.0,4271000.0
CLM-TZ-1112,POL-MOT-5111,2024-07-29,2024-09-26,2024-11-10,Open,665000.0,768000.0
CLM-TZ-1113,POL-MOT-5051,2023-11-06,2023-11-11,2024-03-28,Closed,1445000.0,1632000.0
CLM-TZ-1114,POL-MOT-5160,2022-10-19,2023-02-20,2023-07-31,Open,6670000.0,7304000.0
CLM-TZ-1115,POL-MOT-5075,2024-03-24,2024-08-23,2025-01-26,Closed,2285000.0,2583000.0
CLM-TZ-1116,POL-MOT-5008,2023-10-27,2023-10-30,2023-11-16,Closed,20162000.0,24843000.0
CLM-TZ-1117,POL-MOT-5045,2020-02-13,2020-03-03,2021-03-15,Closed,2938000.0,3469000.0
CLM-TZ-1118,POL-MOT-5059,2024-05-09,2024-08-15,2024-10-09,Closed,2403000.0,3046000.0
CLM-TZ-1119,POL-MOT-5132,2022-03-27,2022-06-17,2022-07-11,Closed,1456000.0,1650000.0
CLM-TZ-1120,POL-MOT-5104,2023-11-05,2023-11-17,2024-12-16,Open,2266000.0,2679000.0
CLM-TZ-1121,POL-MOT-5195,2024-05-17,2024-05-31,2025-12-12,Closed,1702000.0,2024000.0
CLM-TZ-1122,POL-MOT-5157,2020-11-27,2020-12-24,2021-12-15,Open,4025000.0,4739000.0
CLM-TZ-1123,POL-MOT-5157,2019-08-30,2019-10-08,2020-08-01,Closed,5161000.0,6249000.0
CLM-TZ-1124,POL-MOT-5098,2020-05-14,2020-07-10,2021-01-17,Closed,903000.0,967000.0
CLM-TZ-1125,POL-MOT-5156,2021-07-24,2021-08-20,2022-01-11,Closed,524000.0,605000.0
CLM-TZ-1126,POL-MOT-5079,2023-11-28,2024-01-04,2024-01-20,Closed,316000.0,326000.0
CLM-TZ-1127,POL-MOT-5124,2024-02-29,2024-05-21,2024-08-23,Closed,3295000.0,3675000.0
CLM-TZ-1128,POL-MOT-5172,2019-01-16,2019-01-18,2019-04-11,Closed,658000.0,754000.0
CLM-TZ-1129,POL-MOT-5004,2022-01-24,2022-02-10,2022-04-05,Closed,230000.0,275000.0
CLM-TZ-1130,POL-MOT-5090,2021-07-03,2021-09-15,2022-05-04,Closed,2924000.0,3758000.0
CLM-TZ-1131,POL-MOT-5104,2020-05-01,2020-09-13,2021-01-14,Closed,23986000.0,28308000.0
CLM-TZ-1132,POL-MOT-5137,2019-09-20,2019-11-02,2019-11-17,Open,1971000.0,2411000.0
CLM-TZ-1133,POL-MOT-5119,2021-01-09,2021-02-23,2021-04-08,Closed,4586000.0,5283000.0
CLM-TZ-1134,POL-MOT-5133,2024-08-27,2024-09-02,2025-03-27,Open,2152000.0,2561000.0
CLM-TZ-1135,POL-MOT-5056,2020-12-09,2021-01-13,2021-01-27,Open,1796000.0,1834000.0
CLM-TZ-1136,POL-MOT-5096,2022-02-10,2022-03-27,2023-03-04,Open,4971000.0,5350000.0
CLM-TZ-1137,POL-MOT-5178,2023-03-21,2023-04-06,2023-08-07,Closed,1483000.0,1644000.0
CLM-TZ-1138,POL-MOT-5075,2021-03-07,2021-03-25,2021-07-20,Closed,2591000.0,2958000.0
CLM-TZ-1139,POL-MOT-5143,2024-10-30,2024-11-27,2025-05-07,Open,2735000.0,2772000.0
CLM-TZ-1140,POL-MOT-5032,2024-10-09,2024-10-10,2025-08-19,Closed,1017000.0,1060000.0
CLM-TZ-1141,POL-MOT-5028,2020-07-05,2020-07-28,2020-10-12,Closed,5347000.0,5791000.0
CLM-TZ-1142,POL-MOT-5022,2021-12-25,2022-01-08,2022-07-30,Closed,1665000.0,2150000.0
CLM-TZ-1143,POL-MOT-5017,2020-10-21,2020-11-13,2021-04-12,Closed,931000.0,1024000.0
CLM-TZ-1144,POL-MOT-5059,2020-09-16,2020-09-23,2020-11-17,Closed,3391000.0,3881000.0
CLM-TZ-1145,POL-MOT-5090,2019-03-22,2019-08-01,2020-08-14,Closed,807000.0,854000.0
CLM-TZ-1146,POL-MOT-5199,2022-08-28,2022-10-21,2023-08-04,Open,2039000.0,2413000.0
CLM-TZ-1147,POL-MOT-5106,2022-01-06,2022-03-15,2022-09-24,Closed,1965000.0,2130000.0
CLM-TZ-1148,POL-MOT-5185,2019-04-23,2019-07-25,2020-07-01,Open,5873000.0,6238000.0
CLM-TZ-1149,POL-MOT-5026,2020-09-02,2020-10-13,2021-10-11,Closed,3187000.0,3681000.0
CLM-TZ-1150,POL-MOT-5025,2024-06-13,2024-06-18,2025-01-25,Closed,1934000.0,1937000.0
CLM-TZ-1151,POL-MOT-5138,2020-06-08,2020-07-24,2021-06-15,Closed,4492000.0,4502000.0
CLM-TZ-1152,POL-MOT-5045,2019-11-14,2020-01-06,2020-08-08,Closed,7962000.0,8485000.0
CLM-TZ-1153,POL-MOT-5083,2021-12-08,2022-02-28,2022-09-21,Open,3464000.0,3502000.0
CLM-TZ-1154,POL-MOT-5011,2024-11-29,2025-01-01,2025-06-23,Closed,2003000.0,2068000.0
CLM-TZ-1155,POL-MOT-5181,2020-06-14,2020-06-22,2021-02-28,Closed,534000.0,588000.0
CLM-TZ-1156,POL-MOT-5104,2023-01-12,2023-02-01,2023-03-04,Closed,683000.0,847000.0
CLM-TZ-1157,POL-MOT-5068,2023-07-27,2023-08-23,2024-09-08,Closed,1461000.0,1712000.0
CLM-TZ-1158,POL-MOT-5095,2020-06-04,2020-08-05,2021-08-09,Closed,1078000.0,1244000.0
CLM-TZ-1159,POL-MOT-5156,2023-05-15,2023-07-04,2023-07-09,Closed,1645000.0,1790000.0
CLM-TZ-1160,POL-MOT-5065,2021-03-16,2021-04-11,2022-02-19,Closed,2098000.0,2684000.0
CLM-TZ-1161,POL-MOT-5049,2022-10-17,2023-07-02,2023-07-26,Open,3368000.0,3769000.0
CLM-TZ-1162,POL-MOT-5175,2022-10-20,2022-12-14,2023-02-25,Closed,1848000.0,1896000.0
CLM-TZ-1163,POL-MOT-5052,2022-03-19,2022-04-04,2022-12-04,Closed,3225000.0,3822000.0
CLM-TZ-1164,POL-MOT-5102,2019-07-17,2019-07-23,2019-08-23,Closed,2115000.0,2187000.0
CLM-TZ-1165,POL-MOT-5182,2024-01-05,2024-01-14,2024-11-15,Open,275000.0,303000.0
CLM-TZ-1166,POL-MOT-5188,2020-12-03,2020-12-19,2021-11-05,Closed,775000.0,893000.0
CLM-TZ-1167,POL-MOT-5057,2020-02-13,2020-02-23,2020-06-29,Closed,1717000.0,2167000.0
CLM-TZ-1168,POL-MOT-5047,2019-03-31,2019-04-12,2019-04-13,Closed,591000.0,679000.0
CLM-TZ-1169,POL-MOT-5159,2022-07-18,2022-08-07,2022-10-06,Open,3613000.0,4374000.0
CLM-TZ-1170,POL-MOT-5174,2023-01-24,2023-02-04,2023-07-26,Closed,9164000.0,11893000.0
CLM-TZ-1171,POL-MOT-5026,2019-02-06,2019-06-22,2021-06-06,Open,6708000.0,6973000.0
CLM-TZ-1172,POL-MOT-5114,2022-01-26,2022-01-31,2022-07-29,Closed,1602000.0,1734000.0
CLM-TZ-1173,POL-MOT-5005,2020-05-11,2020-06-24,2020-08-17,Closed,8804000.0,9846000.0
CLM-TZ-1174,POL-MOT-5084,2022-11-14,2022-12-15,2023-06-13,Open,2301000.0,2592000.0
CLM-TZ-1175,POL-MOT-5052,2020-01-18,2020-09-16,2021-02-02,Closed,1415000.0,1589000.0
CLM-TZ-1176,POL-MOT-5105,2023-02-22,2023-03-01,2023-11-28,Open,1074000.0,1366000.0
CLM-TZ-1177,POL-MOT-5054,2021-04-27,2021-05-27,2021-06-16,Open,1465000.0,1779000.0
CLM-TZ-1178,POL-MOT-5161,2024-08-14,2025-03-11,2025-11-23,Open,1345000.0,1590000.0
CLM-TZ-1179,POL-MOT-5178,2019-10-29,2020-02-26,2020-07-15,Closed,2351000.0,2569000.0
CLM-TZ-1180,POL-MOT-5166,2021-01-17,2021-04-28,2022-12-12,Open,2328000.0,2903000.0
CLM-TZ-1181,POL-MOT-5155,2019-09-06,2019-09-23,2019-12-07,Closed,1989000.0,2559000.0
CLM-TZ-1182,POL-MOT-5015,2024-07-19,2024-07-30,2025-01-26,Open,3069000.0,3825000.0
CLM-TZ-1183,POL-MOT-5061,2024-04-06,2024-06-11,2025-10-07,Closed,6522000.0,6525000.0
CLM-TZ-1184,POL-MOT-5122,2020-07-19,2020-12-25,2021-01-13,Open,5125000.0,6103000.0
CLM-TZ-1185,POL-MOT-5021,2022-12-17,2023-02-03,2024-06-15,Closed,449000.0,456000.0
CLM-TZ-1186,POL-MOT-5046,2023-11-26,2024-01-15,2024-08-11,Closed,154000.0,166000.0
CLM-TZ-1187,POL-MOT-5197,2022-05-01,2022-05-20,2022-06-01,Closed,5047000.0,5137000.0
CLM-TZ-1188,POL-MOT-5134,2022-03-06,2022-06-02,2022-08-05,Open,505000.0,596000.0
CLM-TZ-1189,POL-MOT-5038,2020-06-13,2020-06-25,2021-02-01,Closed,1584000.0,1910000.0
CLM-TZ-1190,POL-MOT-5062,2019-07-23,2019-08-15,2019-08-27,Closed,615000.0,636000.0
CLM-TZ-1191,POL-MOT-5086,2024-05-19,2024-06-21,2024-11-25,Open,327000.0,365000.0
CLM-TZ-1192,POL-MOT-5190,2024-05-26,2024-07-07,2024-09-21,Closed,3407000.0,3873000.0
CLM-TZ-1193,POL-MOT-5078,2022-10-19,2022-11-04,2023-04-27,Closed,4236000.0,4705000.0
CLM-TZ-1194,POL-MOT-5046,2021-01-12,2021-01-19,2021-01-27,Closed,1114000.0,1154000.0
CLM-TZ-1195,POL-MOT-5141,2021-02-04,2021-04-01,2022-04-05,Closed,149000.0,168000.0
CLM-TZ-1196,POL-MOT-5003,2023-05-10,2023-05-30,2025-03-13,Closed,1148000.0,1407000.0
CLM-TZ-1197,POL-MOT-5006,2024-05-19,2024-07-10,2026-03-26,Closed,2934000.0,2997000.0
CLM-TZ-1198,POL-MOT-5093,2024-04-27,2024-05-07,2025-01-11,Closed,452000.0,463000.0
CLM-TZ-1199,POL-MOT-5008,2023-09-05,2023-10-14,2023-11-08,Closed,2382000.0,2636000.0
CLM-TZ-1200,POL-MOT-5172,2022-11-07,2022-12-22,2023-09-03,Closed,1953000.0,2505000.0
CLM-TZ-1201,POL-MOT-5108,2019-07-04,2019-07-07,2019-07-11,Closed,3539000.0,4249000.0
CLM-TZ-1202,POL-MOT-5161,2019-12-21,2020-01-14,2020-01-18,Closed,2235000.0,2690000.0
CLM-TZ-1203,POL-MOT-5075,2024-05-22,2024-05-30,2024-08-08,Open,749000.0,830000.0
CLM-TZ-1204,POL-MOT-5077,2022-08-21,2022-08-24,2022-12-22,Closed,6560000.0,7728000.0
CLM-TZ-1205,POL-MOT-5050,2019-01-21,2019-10-24,2020-07-14,Closed,1692000.0,1697000.0
CLM-TZ-1206,POL-MOT-5011,2019-08-11,2019-09-03,2020-03-27,Open,1929000.0,2297000.0
CLM-TZ-1207,POL-MOT-5095,2022-12-24,2023-04-02,2023-07-17,Open,780000.0,994000.0
CLM-TZ-1208,POL-MOT-5156,2019-01-12,2019-01-29,2019-03-27,Closed,1273000.0,1507000.0
CLM-TZ-1209,POL-MOT-5070,2019-12-19,2020-02-25,2023-01-13,Closed,818000.0,1032000.0
CLM-TZ-1210,POL-MOT-5169,2022-04-17,2022-07-11,2022-10-18,Open,1668000.0,2030000.0
CLM-TZ-1211,POL-MOT-5016,2023-02-24,2023-04-19,2023-08-05,Closed,10981000.0,11378000.0
CLM-TZ-1212,POL-MOT-5068,2022-11-29,2023-01-06,2023-02-07,Open,503000.0,639000.0
CLM-TZ-1213,POL-MOT-5099,2020-05-06,2020-06-06,2021-03-18,Closed,395000.0,403000.0
CLM-TZ-1214,POL-MOT-5048,2023-04-10,2023-05-05,2023-12-03,Open,8634000.0,10017000.0
CLM-TZ-1215,POL-MOT-5184,2020-06-03,2020-11-09,2020-12-23,Closed,1608000.0,1677000.0
CLM-TZ-1216,POL-MOT-5064,2020-12-13,2021-03-29,2021-04-13,Closed,1016000.0,1020000.0
CLM-TZ-1217,POL-MOT-5187,2023-06-24,2024-01-11,2024-08-03,Closed,5609000.0,6319000.0
CLM-TZ-1218,POL-MOT-5090,2022-11-24,2022-12-01,2023-06-10,Closed,1082000.0,1178000.0
CLM-TZ-1219,POL-MOT-5190,2024-02-04,2024-04-22,2024-06-18,Closed,12311000.0,14106000.0
CLM-TZ-1220,POL-MOT-5076,2022-12-11,2023-05-27,2024-11-19,Open,3906000.0,4582000.0
CLM-TZ-1221,POL-MOT-5139,2022-05-30,2022-06-10,2022-07-09,Open,1217000.0,1233000.0
CLM-TZ-1222,POL-MOT-5101,2019-07-25,2019-07-29,2019-11-07,Closed,17147000.0,17780000.0
CLM-TZ-1223,POL-MOT-5089,2021-03-16,2021-06-05,2022-11-04,Open,1082000.0,1263000.0
CLM-TZ-1224,POL-MOT-5018,2020-08-04,2020-09-24,2020-12-30,Open,4164000.0,4593000.0
CLM-TZ-1225,POL-MOT-5019,2020-06-18,2020-10-06,2021-04-07,Closed,2675000.0,3260000.0
CLM-TZ-1226,POL-MOT-5055,2024-11-01,2024-11-10,2025-02-09,Closed,7288000.0,8714000.0
CLM-TZ-1227,POL-MOT-5102,2021-05-11,2021-08-14,2021-10-10,Closed,9450000.0,11847000.0
CLM-TZ-1228,POL-MOT-5118,2024-05-08,2024-05-21,2026-06-04,Closed,2047000.0,2472000.0
CLM-TZ-1229,POL-MOT-5154,2022-10-14,2022-10-24,2023-01-26,Closed,933000.0,1053000.0
CLM-TZ-1230,POL-MOT-5134,2023-10-08,2023-10-18,2024-11-25,Open,3141000.0,3775000.0
CLM-TZ-1231,POL-MOT-5004,2022-01-06,2022-04-17,2022-06-03,Closed,1007000.0,1090000.0
CLM-TZ-1232,POL-MOT-5108,2022-06-17,2022-08-21,2022-10-03,Open,14848000.0,16212000.0
CLM-TZ-1233,POL-MOT-5115,2021-12-15,2022-01-28,2022-02-02,Closed,2273000.0,2811000.0
CLM-TZ-1234,POL-MOT-5029,2020-03-03,2020-03-29,2020-10-04,Closed,1376000.0,1560000.0
CLM-TZ-1235,POL-MOT-5059,2023-05-02,2023-09-04,2023-11-25,Open,2385000.0,2956000.0
CLM-TZ-1236,POL-MOT-5125,2020-09-07,2020-10-06,2021-09-30,Open,515000.0,642000.0
CLM-TZ-1237,POL-MOT-5098,2019-02-23,2019-06-04,2019-09-27,Closed,750000.0,943000.0
CLM-TZ-1238,POL-MOT-5017,2022-11-15,2022-12-19,2024-08-30,Closed,6586000.0,8397000.0
CLM-TZ-1239,POL-MOT-5107,2020-01-24,2020-02-21,2020-03-28,Closed,1028000.0,1161000.0
CLM-TZ-1240,POL-MOT-5043,2024-08-22,2024-09-28,2025-09-28,Closed,696000.0,763000.0
CLM-TZ-1241,POL-MOT-5080,2024-09-21,2024-10-12,2025-07-08,Closed,3391000.0,3983000.0
